,WHE,RSE,GRE,MHE,B1E,BME,CWE,DWE,EQE,FRE,HPE,OFE,UTE,WOE,B2E,CDE,DNE,EBE,FGE,HTE,OUE,TVE,UNE,Temp (C),Dew Point Temp (C),Rel Hum (%),Wind Dir (10s deg),Wind Spd (km/h),Visibility (km),Stn Press (kPa)
2012-04-01 07:00:00,96515,5636,94,90785,0,23180,0,0,2389,6561,43173,1370,540,2,571,0,1463,0,2934,248,0,2259,6095,4.7,1.3,79.0,26.0,24.0,16.1,100.74
2012-04-01 08:00:00,74729,5543,78,69108,0,409,0,0,2398,6579,48069,974,538,1,448,0,581,0,2674,300,0,2272,3865,5.3,1.3,75.0,21.0,20.0,24.1,100.94
2012-04-01 09:00:00,75663,5681,84,69898,0,411,0,0,2397,6597,48991,1674,538,3,439,0,51,0,1420,300,0,2266,4811,5.9,1.9,75.0,17.0,13.0,24.1,101.07
2012-04-01 10:00:00,75980,5426,70,70484,0,411,0,0,2415,6594,48377,1005,538,0,445,0,7,0,3506,300,0,2264,4622,7.0,1.5,68.0,22.0,7.0,32.2,101.15
2012-04-01 11:00:00,84123,6065,72,77986,0,411,0,0,2391,6619,57438,1075,539,2,450,0,3,0,2345,317,0,2260,4136,7.8,0.7,61.0,23.0,6.0,32.2,101.28
2012-04-01 12:00:00,87078,5547,80,81451,0,407,0,0,2398,6619,61364,1071,537,1,450,0,3,0,1175,300,0,2265,4861,9.1,1.9,61.0,23.0,4.0,32.2,101.35
2012-04-01 13:00:00,80559,5414,90,75055,0,410,0,0,2395,6551,53889,1013,539,2,443,0,7,0,3526,300,0,2269,3711,9.5,0.3,53.0,23.0,9.0,32.2,101.41
2012-04-01 14:00:00,81015,5276,74,75665,0,2649,0,0,2387,6517,51544,1025,537,1,442,0,8,0,2314,293,0,2263,5685,9.8,-1.3,46.0,33.0,4.0,32.2,101.48
2012-04-01 15:00:00,122960,23759,78,99123,0,18377,0,0,2410,6442,44986,1006,540,2,462,0,2,0,1167,650,0,2251,20828,10.5,0.2,49.0,24.0,7.0,32.2,101.56
2012-04-01 16:00:00,74510,19727,66,54717,0,1558,0,0,2377,6312,22007,1011,536,2,441,0,0,0,4084,346,0,2249,13794,9.5,2.1,60.0,22.0,19.0,32.2,101.59
2012-04-01 17:00:00,80218,18915,82,61221,0,403,0,0,2368,6399,41076,1013,530,2,449,0,0,0,2326,316,0,2261,4078,8.7,2.4,65.0,19.0,26.0,32.2,101.69
2012-04-01 18:00:00,73569,25745,62,47762,0,401,0,0,2376,6340,29741,1016,538,3,453,0,0,0,1167,352,0,2257,3118,8.5,0.9,59.0,18.0,15.0,32.2,101.77
2012-04-01 19:00:00,88906,64883,96,23927,0,399,0,0,2384,6213,2209,1049,537,1,442,0,0,0,3649,602,0,2268,4174,8.4,1.6,62.0,15.0,13.0,32.2,101.82
2012-04-01 20:00:00,54061,21605,80,32376,0,406,0,0,2373,6244,8289,1205,538,0,2676,0,0,0,3733,550,0,2257,4105,7.9,2.5,69.0,13.0,11.0,32.2,101.91
2012-04-01 21:00:00,96283,18442,74,77767,0,14716,4732,0,2392,6369,33047,1046,534,3,456,0,0,0,2338,492,1,2275,9366,7.2,3.2,76.0,10.0,13.0,32.2,101.98
2012-04-01 22:00:00,87947,25181,74,62692,0,23398,10118,0,2397,6223,2210,1087,537,2,3552,0,0,0,1167,312,13,2270,9406,6.6,3.1,78.0,10.0,19.0,32.2,102.01
2012-04-01 23:00:00,70130,18732,110,51288,0,13045,0,0,2396,6221,2197,5270,536,3,2402,0,0,0,3915,769,0,4045,10489,6.8,3.5,79.0,10.0,13.0,32.2,102.08
2012-04-02 00:00:00,101051,25007,74,75970,0,1412,0,0,2395,6403,43305,2135,534,2,449,0,0,0,1796,346,0,10668,6525,7.2,2.9,74.0,13.0,22.0,32.2,102.11
